  proxy | time="2020-05-14T16:04:17Z" level=info msg="proxy starting" commit=1d28f333720c25e3a515b8fcab112ffba5a05e54
  proxy | 2020/05/14 16:04:17 Listening (:1080)
fetcher | yarn config v1.22.4
fetcher | success Set "cafile" to "/etc/ssl/certs/ca-certificates.crt".
fetcher | Done in 0.04s.
fetcher | warning: parser/current is loading parser/ruby26, which recognizes
fetcher | warning: 2.6.6-compliant syntax, but you are running 2.6.5.
fetcher | warning: please see https://github.com/whitequark/parser#compatibility-with-ruby-mri.
fetcher | INFO <job_33212184> Starting job processing
  proxy | 2020/05/14 16:04:21 GET https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue
  proxy | 2020/05/14 16:04:21 * authenticating github api request
  proxy | 2020/05/14 16:04:21 200 https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue
  proxy | 2020/05/14 16:04:21 GET https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue/git/refs/heads/master
  proxy | 2020/05/14 16:04:21 * authenticating github api request
  proxy | 2020/05/14 16:04:21 200 https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue/git/refs/heads/master
  proxy | 2020/05/14 16:04:21 GET https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue/contents/pom.xml?ref=545d69ccb495fec0ba51e54d906ec10446456096
  proxy | 2020/05/14 16:04:21 * authenticating github api request
  proxy | 2020/05/14 16:04:21 200 https://api.github.com:443/repos/gbtec-ag/dependabot-version-property-issue/contents/pom.xml?ref=545d69ccb495fec0ba51e54d906ec10446456096
fetcher | INFO <job_33212184> Finished job processing
  proxy | time="2020-05-14T16:04:23Z" level=info msg="proxy starting" commit=1d28f333720c25e3a515b8fcab112ffba5a05e54
  proxy | 2020/05/14 16:04:23 Listening (:1080)
updater | yarn config v1.22.4
updater | success Set "cafile" to "/etc/ssl/certs/ca-certificates.crt".
updater | Done in 0.03s.
updater | warning: parser/current is loading parser/ruby26, which recognizes
updater | warning: 2.6.6-compliant syntax, but you are running 2.6.5.
updater | warning: please see https://github.com/whitequark/parser#compatibility-with-ruby-mri.
updater | INFO <job_33212184> Starting job processing
updater | INFO <job_33212184> Starting update job for gbtec-ag/dependabot-version-property-issue
updater | INFO <job_33212184> Checking if com.google.guava:guava 28.1-jre needs updating
  proxy | 2020/05/14 16:04:48 GET https://repo.maven.apache.org:443/maven2/com/google/guava/guava/maven-metadata.xml
  proxy | 2020/05/14 16:04:48 200 https://repo.maven.apache.org:443/maven2/com/google/guava/guava/maven-metadata.xml
  proxy | 2020/05/14 16:04:48 HEAD https://repo.maven.apache.org:443/maven2/com/google/guava/guava/29.0-jre/guava-29.0-jre.jar
  proxy | 2020/05/14 16:04:48 200 https://repo.maven.apache.org:443/maven2/com/google/guava/guava/29.0-jre/guava-29.0-jre.jar
updater | INFO <job_33212184> Latest version is 29.0-jre
updater | INFO <job_33212184> Pull request already exists for com.google.guava:guava with latest version 29.0-jre
updater | INFO <job_33212184> Checking if commons-io:commons-io 2.5 needs updating
  proxy | 2020/05/14 16:04:48 GET https://repo.maven.apache.org:443/maven2/commons-io/commons-io/maven-metadata.xml
  proxy | 2020/05/14 16:04:48 200 https://repo.maven.apache.org:443/maven2/commons-io/commons-io/maven-metadata.xml
  proxy | 2020/05/14 16:04:48 HEAD https://repo.maven.apache.org:443/maven2/commons-io/commons-io/2.6/commons-io-2.6.jar
